benchmark_group,sigma,first_method,second_method,difference,metric,images,mean_difference,std_difference,median_difference,ci95_low,ci95_high,wins,ties,losses,win_percentage
div2k,0.15,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,PSNR,100,-0.05806461334228505,0.04978957325494255,-0.05665302276611328,-0.06795080900192269,-0.048555700302124125,11,0,89,11.0
div2k,0.15,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,SSIM,100,-0.0030632922053337097,0.0027829804148545418,-0.0030183792114257812,-0.0036122590750455857,-0.0025340791642665863,10,0,90,10.0
div2k,0.15,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,PSNR,100,-0.10585939407348632,0.06767227791601205,-0.1020965576171875,-0.11942678022384672,-0.09286414051055915,4,0,96,4.0
div2k,0.15,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,SSIM,100,-0.004231450855731961,0.0030202584783371035,-0.004274249076843262,-0.004836080178618426,-0.0036546099558472612,6,0,94,6.0
div2k,0.2,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,PSNR,100,0.08294538497924797,0.10839934036160179,0.060843467712402344,0.062196054935455325,0.10448971509933422,81,0,19,81.0
div2k,0.2,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,SSIM,100,0.01184780418872833,0.023043462083958514,0.005773365497589111,0.007494958274066449,0.01646587152034044,69,0,31,69.0
div2k,0.2,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,PSNR,100,0.05133712768554695,0.08941076609538301,0.035878181457523084,0.034465391159057446,0.06938933134079009,76,0,24,76.0
div2k,0.2,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,SSIM,100,0.011432375609874725,0.021738671220290447,0.0037392377853393555,0.007374707713723184,0.01581563170999288,66,0,34,66.0
div2k,0.2,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,PSNR,100,-0.05209714889526382,0.044398922382404976,-0.049550056457517755,-0.06083422470092781,-0.04373449897766123,11,0,89,11.0
div2k,0.2,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,SSIM,100,-0.0038772529363632203,0.0035142523456937473,-0.0033513009548187256,-0.0045798573195934295,-0.0032120337486267092,11,0,89,11.0
div2k,0.2,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,PSNR,100,-0.08370540618896484,0.05908629621766443,-0.07358169555664062,-0.09527284288406361,-0.07250744247436525,6,0,94,6.0
div2k,0.2,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,SSIM,100,-0.0042926815152168245,0.00439246777985956,-0.0038914084434509277,-0.005205050200223921,-0.003490772373974321,11,0,89,11.0
geometry,0.05,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,PSNR,5,0.6465904235839843,0.4717059602026312,0.708526611328125,0.24936599731445314,0.964764404296875,4,0,1,80.0
geometry,0.05,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,SSIM,5,0.010499715805053622,0.003932235634068717,0.011602103710174339,0.00702856600284572,0.012620055675506503,5,0,0,100.0
geometry,0.05,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,PSNR,5,1.2758583068847655,0.4344288532598974,1.3776092529296875,0.9246109008789063,1.591851043701172,5,0,0,100.0
geometry,0.05,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,SSIM,5,0.01078307628631594,0.0038813943725177057,0.012459695339202992,0.007342004776001043,0.012804257869720437,5,0,0,100.0
geometry,0.05,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,PSNR,5,-0.7800300598144532,0.5916007876312392,-0.6746788024902344,-1.2755851745605469,-0.35054855346679686,0,0,5,0.0
geometry,0.05,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,SSIM,5,-0.0011012911796570268,0.00035786579979145097,-0.0008908510208129883,-0.0013709783554078036,-0.00083160400390625,0,0,5,0.0
geometry,0.05,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,PSNR,5,-0.15076217651367188,0.5520988310156504,-0.15382766723632812,-0.5977901268005327,0.26364288330078123,2,0,3,40.0
geometry,0.05,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,SSIM,5,-0.0008179306983947087,0.0003991564869753952,-0.0006270408630369984,-0.0011286020278929777,-0.0005152821540832075,0,0,5,0.0
geometry,0.1,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,PSNR,5,1.0640716552734375,0.5550827866443306,1.2359619140625,0.6164199829101562,1.4476547241210938,5,0,0,100.0
geometry,0.1,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,SSIM,5,0.040773308277130105,0.009077612563898359,0.04441720247268677,0.03262633085250859,0.045815908908843905,5,0,0,100.0
geometry,0.1,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,PSNR,5,1.4012237548828126,0.5419234965976734,1.3198165893554688,1.0052093505859374,1.851811981201172,5,0,0,100.0
geometry,0.1,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,SSIM,5,0.0377657413482666,0.009389182558679732,0.039693474769592396,0.029378068447113038,0.043938517570495585,5,0,0,100.0
geometry,0.1,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,PSNR,5,-0.6326889038085938,0.47147376873015084,-0.69915771484375,-0.9868759155273438,-0.2686195373535156,0,0,5,0.0
geometry,0.1,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,SSIM,5,-0.0009255886077881526,0.0003765940310543924,-0.0011495351791381836,-0.001207208633422896,-0.0006439685821534091,0,0,5,0.0
geometry,0.1,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,PSNR,5,-0.29553680419921874,0.28200947611110133,-0.19681930541992188,-0.5354437255859347,-0.10465011596679688,0,0,5,0.0
geometry,0.1,U-Tikhonov T16/CG64,U-Tikhonov T16/CG32,U-Tikhonov T16/CG64 - U-Tikhonov T16/CG32,SSIM,5,-0.003933155536651656,0.00218929756857627,-0.004050910472869984,-0.005659580230712846,-0.0021216869354249157,0,0,5,0.0
geometry,0.15,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,PSNR,5,1.1416912078857422,0.5189918599924317,1.2610511779785156,0.7081928253173828,1.5270114898681642,5,0,0,100.0
geometry,0.15,U-Tikhonov T16/CG32,U-Tikhonov T4/CG32,U-Tikhonov T16/CG32 - U-Tikhonov T4/CG32,SSIM,5,0.07548881769180298,0.011725627622196528,0.07972532510757446,0.06498115062713616,0.0823319792747498,5,0,0,100.0
geometry,0.15,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,PSNR,5,1.2640186309814445,0.4058447544528498,1.2445144653320312,0.9601943969726563,1.5866390228271476,5,0,0,100.0
geometry,0.15,U-Tikhonov T16/CG64,U-Tikhonov T4/CG64,U-Tikhonov T16/CG64 - U-Tikhonov T4/CG64,SSIM,5,0.06897971630096433,0.012852415958375432,0.07045614719390858,0.05763812065124516,0.07818906307220452,5,0,0,100.0
geometry,0.15,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,PSNR,5,-0.4093822479248047,0.2869748007068666,-0.4307060241699219,-0.6339447021484375,-0.18481979370117188,0,0,5,0.0
geometry,0.15,U-Tikhonov T4/CG64,U-Tikhonov T4/CG32,U-Tikhonov T4/CG64 - U-Tikhonov T4/CG32,SSIM,5,0.0006001234054565207,0.0013572350974291908,8.225440979003906e-05,-9.40680503845881e-05,0.001835036277770996,4,0,1,80.0
