method,idx,base_idx,crop_id,path,sample_id,dataset,image_name,noise_seed,clean_sha256,noisy_sha256,sigma,noisy_mse,noisy_psnr,noisy_ssim,recon_mse,recon_psnr,recon_ssim,lambda_mean,lambda_std,lambda_min,lambda_max,lambda_p01,lambda_median,lambda_p99,lambda_lower_saturation_fraction,lambda_upper_saturation_fraction
U-Tikhonov T4/CG64,306,6,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0807.png,div2k/0807.png/sigma_0.200,div2k,0807.png,20006,1e941eaeed69e78250491fe2c5b2f458f2f36301b8aa701227bd408f852fa572,7577e075b9407964bd3c045c44f49e9eed4cd36144880344a401029a52f84239,0.20000000298023224,0.034604717046022415,14.608646392822266,0.3595600128173828,0.00522957369685173,22.815338134765625,0.6848752498626709,4.5827531814575195,3.0596303939819336,0.00046703143743798137,8.320335388183594,0.06361914426088333,4.196981430053711,8.320335388183594,0.013336181640625,0.22772216796875
U-Tikhonov T4/CG64,307,7,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0808.png,div2k/0808.png/sigma_0.200,div2k,0808.png,20007,9666b1dba93f470d95570471f38f195acafae585deefb8498b5ebb625df94e78,593a46ec02aafa29eda0f31d7bc829966f052ea8bcfac6fd931cb7aafef5c478,0.20000000298023224,0.03264236822724342,14.862183570861816,0.24462930858135223,0.0032969554886221886,24.818870544433594,0.7761630415916443,6.253156661987305,2.9448089599609375,0.00016193516785278916,8.320335388183594,0.05635407567024231,8.248567581176758,8.320335388183594,0.0140228271484375,0.5064849853515625
U-Tikhonov T4/CG64,308,8,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0809.png,div2k/0809.png/sigma_0.200,div2k,0809.png,20008,f57d7f591d2770efb0162e925acaaef8e4ce467e58b7a54d53de058959be9978,7c562f910f22a6bbc5b8b1863098a4cc05a6fb6bfda81f9b8b157feccff608ae,0.20000000298023224,0.035625673830509186,14.482369422912598,0.3049831986427307,0.0035995945800095797,24.43746566772461,0.6589563488960266,5.246114730834961,2.780468225479126,0.0003927148936782032,8.320335388183594,0.13886690139770508,5.657320022583008,8.320335388183594,0.005859375,0.22296142578125
U-Tikhonov T4/CG64,309,9,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0810.png,div2k/0810.png/sigma_0.200,div2k,0810.png,20009,50cf8d799292c4a6f6c23b4a8f1d0c08015da9c6e74d9109a31efdb1eb5d9df3,ba7b2bf6f8dbef7b1540f43046cdf692e30fb9075a4c929eaa71a46d1b2a973a,0.20000000298023224,0.03685157373547554,14.335440635681152,0.2768332064151764,0.003100066212937236,25.08629035949707,0.7218133807182312,5.645560264587402,2.817112922668457,0.001734310295432806,8.320335388183594,0.14841510355472565,6.851722717285156,8.320335388183594,0.0053558349609375,0.304229736328125
U-Tikhonov T4/CG64,310,10,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0811.png,div2k/0811.png/sigma_0.200,div2k,0811.png,20010,ceab700e5944238d72f4ec94852a5ee6b9c353c54281c96ee7c6e9b9f2a16308,66b078cc01d92864043643094c99ce46de0fc392c329670aea72faa0081b61ef,0.20000000298023224,0.030274415388703346,15.189242362976074,0.2888026833534241,0.004406392574310303,23.559167861938477,0.6181207299232483,5.195713043212891,2.9337751865386963,0.00035759489401243627,8.320335388183594,0.1253834217786789,5.742834568023682,8.320335388183594,0.00616455078125,0.2626495361328125
U-Tikhonov T4/CG64,311,11,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0812.png,div2k/0812.png/sigma_0.200,div2k,0812.png,20011,5f26939fc07611061a96f2a386a77ffd9251b83abf26ac7ecb5a44dcae97187b,7b8e9a311c180f17e7a36e7c0f870bbdac4a5ec65c94e366e0e96e16577873ee,0.20000000298023224,0.03386826440691948,14.702071189880371,0.40606313943862915,0.0046899328008294106,23.2883358001709,0.7675157785415649,4.911613464355469,3.2793335914611816,0.0001389284007018432,8.320335388183594,0.0218509454280138,5.629688739776611,8.320335388183594,0.0284576416015625,0.3145751953125
U-Tikhonov T4/CG64,312,12,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0813.png,div2k/0813.png/sigma_0.200,div2k,0813.png,20012,c34023db0a8b05fd8269a4d5afeb83670d5b08e7bce8d6c8cfe221a95b0e0b2f,86c1ff20a5aa336ba94861bc2334494a860c894bc88a7435aa3806678e7ad8b3,0.20000000298023224,0.030121561139822006,15.211225509643555,0.4075990319252014,0.004914720542728901,23.085012435913086,0.7791210412979126,4.872915744781494,3.248854875564575,0.00014435274351853877,8.320335388183594,0.028173334896564484,5.391051769256592,8.320335388183594,0.0243377685546875,0.3020782470703125
U-Tikhonov T4/CG64,313,13,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0814.png,div2k/0814.png/sigma_0.200,div2k,0814.png,20013,9f544177fb7f24fc86ba1b0d9b9d0e664f093ce144600099ca215fbf1a3e3c25,f19bbc6781dd3503c77ca7892fbf75631b7770a251002b21caa79b16139c91b3,0.20000000298023224,0.034978337585926056,14.562007904052734,0.19906678795814514,0.002711094217374921,25.668554306030273,0.7663601636886597,6.3062334060668945,2.922793388366699,0.00029139145044609904,8.320335388183594,0.08368305116891861,8.280216217041016,8.320335388183594,0.00994873046875,0.531402587890625
U-Tikhonov T4/CG64,314,14,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0815.png,div2k/0815.png/sigma_0.200,div2k,0815.png,20014,d8f2b2b3496e52c1ec43e3c5e28732516b24990b8a2361d1876240ad562db395,44f7ec206d35f890114f56d53d033f150d8d97ec4412917428f012ddb457eb5a,0.20000000298023224,0.034089915454387665,14.67374038696289,0.3620714545249939,0.00419015996158123,23.777694702148438,0.7515596747398376,4.074185371398926,2.91642165184021,0.00020857551135122776,8.320335388183594,0.05152619630098343,3.374385356903076,8.320334434509277,0.015960693359375,0.1332550048828125
U-Tikhonov T4/CG64,315,15,0,/Users/kyrillguba/Documents/Data Analytics MSc/Thesis/Python/First Try/data/DIV2K/DIV2K_valid_HR/0816.png,div2k/0816.png/sigma_0.200,div2k,0816.png,20015,f457e7c932a8730df29263aaf8e3c3a2e54e7e68e543a34cdbc085f7c21edf50,bb47f91d9ab8fadad3de18398885eddd3433d68f18b7cd263a390ab4f7a0012d,0.20000000298023224,0.034869372844696045,14.57555866241455,0.30748236179351807,0.003408215008676052,24.67473030090332,0.7447899580001831,5.164943695068359,3.020376443862915,0.0003850082866847515,8.320335388183594,0.08737289160490036,5.773576259613037,8.320335388183594,0.009613037109375,0.2976837158203125
