method,device,device_description,parameter_count,timed_measurements,timed_images_per_repeat,mean_runtime_ms_per_image,std_runtime_ms_per_image,median_runtime_ms_per_image,images_per_second,solver_iterations
U-Tikhonov T4/CG32,mps,Apple Metal Performance Shaders (MPS),1925025,50,10,61.40867003996391,5.302485153590023,59.70689649984706,16.28434550608593,32
U-Tikhonov T4/CG64,mps,Apple Metal Performance Shaders (MPS),1925025,50,10,109.75767094147159,4.675511892835101,109.03941650030902,9.110980502977794,64
U-Tikhonov T16/CG32,mps,Apple Metal Performance Shaders (MPS),1925025,50,10,60.08910748001654,3.5336785836941393,59.19339600222884,16.64195129429346,32
U-Tikhonov T16/CG64,mps,Apple Metal Performance Shaders (MPS),1925025,50,10,114.6101716614794,9.885760657379612,111.27095849224133,8.725229056925853,64
