sigma,method,lambda_mean,lambda_std,lambda_min,lambda_max,lambda_p01,lambda_median,lambda_p99,lambda_lower_saturation_fraction,lambda_upper_saturation_fraction
0.050000000745058,U-Tikhonov T16/CG32,3.727777612954378,5.06199982881546,0.004734470843104596,32.84129728317261,0.03268099612789224,1.89730912335217,21.247334896922112,0.3533961486816406,0.017392425537109374
0.050000000745058,U-Tikhonov T16/CG64,3.759665229767561,5.001660869121552,0.001293894393602339,32.85338140487671,0.022009222328779242,1.9680303248018027,20.877423660755156,0.34393524169921874,0.0122174072265625
0.050000000745058,U-Tikhonov T4/CG32,2.003290453851223,2.2721517020463944,0.000494381913886125,8.320140314102172,0.01349522190226703,1.2208326596021652,7.8835490250587466,0.14074722290039063,0.060283203125
0.050000000745058,U-Tikhonov T4/CG64,2.0961633360385896,2.3476100832223894,0.00048410209536081704,8.32032371520996,0.012902013072598443,1.2991940746828914,8.056438679695129,0.13905364990234376,0.0740582275390625
0.1000000014901161,U-Tikhonov T16/CG32,6.415587411522865,7.67316285610199,0.008681150169577398,33.26580291748047,0.07730268185958261,3.6575971043482425,29.457931356430052,0.15419387817382812,0.03665817260742187
0.1000000014901161,U-Tikhonov T16/CG64,6.428391156792641,7.745397071838379,0.001199423260550196,33.266268005371096,0.04403027126798402,3.604730607420206,29.84036451816559,0.1603570556640625,0.03203399658203125
0.1000000014901161,U-Tikhonov T4/CG32,3.0784361600875854,2.7676223719120028,0.000407011827191983,8.3203342628479,0.026093192518164825,2.328478454351425,8.288337769508361,0.056995849609375,0.11892913818359375
0.1000000014901161,U-Tikhonov T4/CG64,3.24767654299736,2.8573770689964295,0.000382110028294802,8.320335350036622,0.02529999509832118,2.5454895274341105,8.316976480484009,0.056873779296875,0.148114013671875
0.1500000059604644,U-Tikhonov T16/CG32,8.672741737365723,9.211970746517181,0.009784745381330088,33.2809631729126,0.11815709701739248,5.4572544080019,31.96060676574707,0.08494293212890625,0.058078765869140625
0.1500000059604644,U-Tikhonov T16/CG64,8.590352739095687,9.232048478126526,0.0012965873385837271,33.281060752868655,0.06589815813815217,5.332926676273346,32.238878879547116,0.09401168823242187,0.05420547485351562
0.1500000059604644,U-Tikhonov T4/CG32,3.878286099433899,2.9342116808891294,0.00038816386710090395,8.320335388183594,0.037374901610892214,3.48245584577322,8.31703495979309,0.03606842041015625,0.17297653198242188
0.1500000059604644,U-Tikhonov T4/CG64,4.129978212118149,3.007263569831848,0.000382118735869829,8.320335388183594,0.03892888406640845,3.9060456924140454,8.32025408744812,0.03454742431640625,0.2203753662109375
0.2000000029802322,U-Tikhonov T16/CG32,10.398403811454774,10.048749635219574,0.010316642844118129,33.28133674621582,0.15529622127301987,7.197284679412842,32.778450889587404,0.05473724365234375,0.07580047607421875
0.2000000029802322,U-Tikhonov T16/CG64,10.332676723003388,10.075928311347962,0.00130649193029962,33.28130264282227,0.08929732798133042,7.092855305075646,32.912515506744384,0.06387191772460937,0.07157577514648437
0.2000000029802322,U-Tikhonov T4/CG32,4.482916215658188,2.9805715465545655,0.000367157651198741,8.320335388183594,0.049263514253543646,4.569032447040081,8.319944400787353,0.0262933349609375,0.22290634155273437
0.2000000029802322,U-Tikhonov T4/CG64,4.771375362873077,3.013482601642609,0.00035745867593500497,8.320335388183594,0.05240443905466232,5.133934646844864,8.32033064842224,0.02446868896484375,0.2811087036132813
