epoch,train_mse,val_mse,val_psnr,val_ssim,noisy_mse,noisy_psnr,noisy_ssim,train_phase_time_sec,validation_time_sec,epoch_time_sec,total_time_sec,train_images_per_sec,validation_images_per_sec,val_lambda_mean,val_lambda_std,val_lambda_min,val_lambda_max,val_lambda_p01,val_lambda_median,val_lambda_p99
1,0.0012385425224056236,0.0010791366372723133,30.33364761352539,0.8187628304958343,0.009698207005858422,20.136563453674317,0.32226710945367815,73.1983536669868,3.259801292006159,76.45851483399747,76.45866083301371,6.830754722636679,15.338358237544231,0.10528401672840118,0.002102460088208318,0.0841558501124382,0.11300533264875412,0.092624744027853,0.10554653003811837,0.10797098875045777
2,0.0011266962790177787,0.000924852034659125,30.848194618225097,0.8302989506721496,0.009698207005858422,20.136563453674317,0.32226710945367815,72.68735762502183,3.2689929580083117,75.95665383301093,152.53874254101538,6.878775296515669,15.29523025661803,0.06907505825161935,0.005454256185330451,0.061829544603824615,0.12818564474582672,0.06354429349303245,0.06738003000617027,0.0886308716237545
3,0.0009465238917764509,0.0009663474437547848,30.66846569061279,0.8239635336399078,0.009698207005858422,20.136563453674317,0.32226710945367815,72.71293704101117,3.2630426659889054,75.97629312501522,228.61191087501356,6.876355437519909,15.323121735782417,0.06913882449269294,0.009290593154728412,0.03963208571076393,0.1252221167087555,0.052690425887703896,0.06772480487823486,0.09564621821045875
4,0.0009013644673541421,0.0009599058021558448,30.634698371887207,0.816715943813324,0.009698207005858422,20.136563453674317,0.32226710945367815,72.72352695799782,3.268023041979177,75.99185908300569,304.65613791599753,6.875354110489991,15.299769725527716,0.06441521055996419,0.00938409878872335,0.029734238982200623,0.13787716627120972,0.04819382056593895,0.06288046397268772,0.09421584516763687
5,0.0008859418443571486,0.0009341427823528648,30.817406730651854,0.8303859496116638,0.009698207005858422,20.136563453674317,0.32226710945367815,72.71800708398223,3.2722420420031995,75.99056499998551,380.6966917910031,6.875876004447545,15.28004327252975,0.06986705020070076,0.007727530868723988,0.041984397917985916,0.13698916137218475,0.05541406556963921,0.06914963975548744,0.09457788050174713
6,0.0008759266481938539,0.0009803678959724492,30.726612281799316,0.8330865287780762,0.009698207005858422,20.136563453674317,0.32226710945367815,72.73864104200038,3.253888500010362,75.99283116697916,456.7398479160038,6.873925506957059,15.36623028104398,0.08335264548659324,0.01002632910385728,0.035539425909519196,0.15839062631130219,0.06171030804514885,0.08272278547286988,0.10863863199949264
7,0.0009239705059444532,0.0009324875636957585,30.77102714538574,0.8236916887760163,0.009698207005858422,20.136563453674317,0.32226710945367815,72.71354554200661,3.246604833024321,75.96046850000857,532.7485157500196,6.876297892957922,15.400703988179345,0.0658986683934927,0.008531277496367694,0.0274492297321558,0.15782737731933594,0.05018899887800217,0.06480385661125183,0.09476617366075515
8,0.0008785566504957387,0.0009390056831762195,30.783298263549806,0.8286404347419739,0.009698207005858422,20.136563453674317,0.32226710945367815,72.72283220800455,3.260644959023921,75.98378850001609,608.7840665830008,6.875419793468459,15.33438955431921,0.07054956868290901,0.008773969439789652,0.04289170727133751,0.16784267127513885,0.05603134609758854,0.06931286811828613,0.10108748853206634
9,0.0008659336854107096,0.0009275547962170095,30.8217280960083,0.8282082200050354,0.009698207005858422,20.136563453674317,0.32226710945367815,72.61440562500502,3.267648749984801,75.88235820800764,684.7178524580086,6.885686052187739,15.301522233756787,0.06917796507477761,0.009089366737753153,0.027639223262667656,0.1785009354352951,0.05187326945364475,0.0685740664601326,0.10152920424938201
10,0.0008837015403696569,0.0009220146856387146,30.918276901245118,0.8371507883071899,0.009698207005858422,20.136563453674317,0.32226710945367815,72.75295062499936,3.262376916973153,76.01581541699125,760.7854021250096,6.872573492960024,15.32624870531214,0.07552284151315689,0.006683479072526097,0.04438333958387375,0.1539728045463562,0.06356139078736306,0.0746652439236641,0.10134748265147209
