benchmark_group,sigma,first_method,second_method,difference,metric,images,mean_difference,std_difference,median_difference,ci95_low,ci95_high,wins,ties,losses,win_percentage,comparison_type
div2k,0.15,U-Tikhonov x16 CG64,U-Tikhonov x4 CG64,U-Tikhonov x16 CG64 - U-Tikhonov x4 CG64,SSIM,100,0.0106877717375755,0.0116309915582982,0.0074663162231445,0.0085135387480258,0.0130655368715524,94,0,6,94.0,one_factor_ablation
div2k,0.15,U-Tikhonov x4 CG64,U-Tikhonov x4 CG32,U-Tikhonov x4 CG64 - U-Tikhonov x4 CG32,PSNR,100,-0.0475676536560058,0.101814247658589,-0.050811767578125,-0.0672800674438476,-0.0277132019996643,28,0,72,28.0,one_factor_ablation
div2k,0.15,U-Tikhonov x4 CG64,U-Tikhonov x4 CG32,U-Tikhonov x4 CG64 - U-Tikhonov x4 CG32,SSIM,100,-0.0080640822649002,0.0070204230891736,-0.0070414543151855,-0.0094502869844436,-0.0067294611632823,12,0,88,12.0,one_factor_ablation
div2k,0.15,U-Tikhonov x16 CG64,U-Tikhonov x16 CG32,U-Tikhonov x16 CG64 - U-Tikhonov x16 CG32,PSNR,100,-0.0845423507690429,0.0401258969195289,-0.0781421661376953,-0.0925817346572876,-0.076917429447174,1,0,99,1.0,one_factor_ablation
div2k,0.15,U-Tikhonov x16 CG64,U-Tikhonov x16 CG32,U-Tikhonov x16 CG64 - U-Tikhonov x16 CG32,SSIM,100,-0.0039172738790512,0.0045204832366196,-0.003884345293045,-0.0048007906973361,-0.0030296437442302,15,0,85,15.0,one_factor_ablation
div2k,0.2,U-Tikhonov x16 CG32,U-Tikhonov x4 CG32,U-Tikhonov x16 CG32 - U-Tikhonov x4 CG32,PSNR,100,0.0713010597229003,0.0716159549568435,0.0616312026977539,0.0576729979515075,0.0859531860351562,92,0,8,92.0,one_factor_ablation
div2k,0.2,U-Tikhonov x16 CG32,U-Tikhonov x4 CG32,U-Tikhonov x16 CG32 - U-Tikhonov x4 CG32,SSIM,100,0.0126761907339096,0.0172382479685097,0.0073885023593902,0.0094875045642256,0.016239901125431,86,0,14,86.0,one_factor_ablation
div2k,0.2,U-Tikhonov x16 CG64,U-Tikhonov x4 CG64,U-Tikhonov x16 CG64 - U-Tikhonov x4 CG64,PSNR,100,0.0745004940032958,0.0750557811475986,0.0661439895629882,0.0604888458251953,0.0897840363979339,93,0,7,93.0,one_factor_ablation
div2k,0.2,U-Tikhonov x16 CG64,U-Tikhonov x4 CG64,U-Tikhonov x16 CG64 - U-Tikhonov x4 CG64,SSIM,100,0.0181149452924728,0.0166345448284957,0.0119479596614837,0.0150526176989078,0.0215397513508796,97,0,3,97.0,one_factor_ablation
div2k,0.2,U-Tikhonov x4 CG64,U-Tikhonov x4 CG32,U-Tikhonov x4 CG64 - U-Tikhonov x4 CG32,PSNR,100,-0.0737758064270019,0.0711434183777268,-0.0808868408203125,-0.0875375881195068,-0.0599219908714294,10,0,90,10.0,one_factor_ablation
div2k,0.2,U-Tikhonov x4 CG64,U-Tikhonov x4 CG32,U-Tikhonov x4 CG64 - U-Tikhonov x4 CG32,SSIM,100,-0.0110096234083175,0.0078963121187571,-0.0100042223930358,-0.0125648658573627,-0.009491374976933,7,0,93,7.0,one_factor_ablation
div2k,0.2,U-Tikhonov x16 CG64,U-Tikhonov x16 CG32,U-Tikhonov x16 CG64 - U-Tikhonov x16 CG32,PSNR,100,-0.0705763721466064,0.0382815698921805,-0.0679378509521484,-0.0782166655063629,-0.0631856656074524,2,0,98,2.0,one_factor_ablation
div2k,0.2,U-Tikhonov x16 CG64,U-Tikhonov x16 CG32,U-Tikhonov x16 CG64 - U-Tikhonov x16 CG32,SSIM,100,-0.0055708688497543,0.0056201210699715,-0.0051202774047851,-0.0066838507577776,-0.0044768426194787,14,0,86,14.0,one_factor_ablation
