map,edge_dip_x64_percent,edge_dip_x192_percent,method,lower_bound_proximity_percent,upper_bound_proximity_percent
U-TGV lambda0,57.98258228338617,53.98411210968096,,,
U-TGV lambda1,15.437400392551751,7.919851152429019,,,
U-TV lambda,30.534317282511953,36.88643391351817,,,
U-Tikhonov x16 CG32 lambda,97.956198700058,98.19138180499299,U-Tikhonov x16 CG32,6.681060791015625,1.95770263671875
U-Tikhonov x16 CG64 lambda,98.29453861383261,98.4541226124822,U-Tikhonov x16 CG64,7.288360595703125,0.0
U-Tikhonov x4 CG32 lambda,98.15959078403095,98.21496488047184,U-Tikhonov x4 CG32,1.6727447509765625,46.71134948730469
U-Tikhonov x4 CG64 lambda,98.009548820254,98.84972183084528,U-Tikhonov x4 CG64,0.5950927734375,37.48207092285156
