method,checkpoint_epoch,best_validation_psnr,best_validation_ssim
U-TV,20,31.21446090698242,0.8482508325576782
U-TGV,20,31.40984973907471,0.8492777943611145
U-Tikhonov x16 CG32,19,31.695676155090332,0.8677645719051361
