epoch,train_mse,val_mse,val_psnr,val_ssim,noisy_mse,noisy_psnr,noisy_ssim,train_phase_time_sec,validation_time_sec,epoch_time_sec,total_time_sec,train_images_per_sec,validation_images_per_sec,val_lambda_mean,val_lambda_std,val_lambda_min,val_lambda_max,val_lambda_p01,val_lambda_median,val_lambda_p99,val_lambda_lower_saturation_fraction,val_lambda_upper_saturation_fraction
1,0.0012288269175332,0.0011329202755587,29.971894149780272,0.7950389075279236,0.0096982070058584,20.136563453674317,0.3222671094536781,79.45187254203483,5.266915957909077,84.7191996248439,84.71936870878562,6.293117883854403,9.49322153601433,2.96897424697876,0.0666795802116394,2.272941827774048,3.1164729595184326,2.509617094993591,2.976142859458923,3.032542171478271,0.0,0.0
2,0.0011615586931948,0.0011311402526916,29.99488388061523,0.7975042545795441,0.0096982070058584,20.136563453674317,0.3222671094536781,80.04197237500921,5.385667792055756,85.42816945910454,170.27211937494576,6.246722627691151,9.283899774463173,3.075454387664795,0.1481756168603897,2.280074119567871,3.5569469928741455,2.5745745134353637,3.081638731956482,3.3753259563446045,0.0,0.0
3,0.0011651485837792,0.0011172770144185,30.033241004943847,0.7968647146224975,0.0096982070058584,20.136563453674317,0.3222671094536781,86.85576591594145,5.71511908294633,92.57143191620708,262.9434584588744,5.756670207524246,8.748724090316482,2.9798776960372924,0.3074211812019348,2.18567156791687,4.286778450012207,2.3980053424835206,2.9608405113220213,3.758692936897278,0.0,0.0
4,0.0011387631683901,0.0011190506926504,30.028481903076173,0.7959297955036163,0.0096982070058584,20.136563453674317,0.3222671094536781,92.47982470784336,5.97752441605553,98.45769404200836,361.5093606668525,5.40658464242952,8.364666795120208,3.0335526609420778,0.5630913832783699,2.001920700073242,5.71026086807251,2.1509753608703615,2.964331340789795,4.541265969276428,0.0,0.0
5,0.0010861249459339,0.0011242790927644,29.860394096374513,0.7709706771373749,0.0096982070058584,20.136563453674317,0.3222671094536781,94.0553432079032,5.48119920771569,99.536888374947,461.10354645876214,5.316019089896707,9.122091371832786,2.06608216047287,0.4211873754858971,1.104095697402954,4.429532051086426,1.424559931755066,2.002196083068847,3.2632340383529663,0.0,0.0
6,0.001043982285737,0.0011076879460597,30.0658854675293,0.7941843438148498,0.0096982070058584,20.136563453674317,0.3222671094536781,92.62526412541048,6.155676707625389,98.7818008339964,559.9395839590579,5.398095268295509,8.122583815693591,3.0245302867889405,0.7153081804513931,0.6907950043678284,6.1137776374816895,1.5045426499843595,3.038032851219177,4.699671168327331,0.0,0.0
7,0.001027771367284,0.000904175323958,30.9489693069458,0.832615259885788,0.0096982070058584,20.136563453674317,0.3222671094536781,105.8744362089783,7.354315959382802,113.2296220837161,673.2766838748939,4.722575325105716,6.798728838432468,5.204901986122131,2.3076744294166565,0.0807395428419113,20.022279739379883,0.8068062204122544,5.384666185379029,11.511343936920166,0.001494140625,0.0
8,0.0008642921723367,0.0008720064512453,31.11737209320068,0.842775810956955,0.0096982070058584,20.136563453674317,0.3222671094536781,116.71901866607368,7.397850791923702,124.11723937513308,797.4926605420187,4.283792013626082,6.7587197155402805,6.626034603118897,3.451020450592041,0.0283258408308029,23.703584671020508,0.6055442371964455,6.782477226257324,14.167630767822263,0.0067971801757812,0.0
9,0.0008081022103542,0.0008518495806492,31.204201316833498,0.8466986095905304,0.0096982070058584,20.136563453674317,0.3222671094536781,128.52481866721064,8.329619124997407,136.8554093753919,934.4550663339904,3.89029920590396,6.0026754224510315,6.628155913352966,4.159222755432129,0.0104362610727548,23.863431930541992,0.5483809584379196,6.1570108699798585,16.47754865646362,0.0130990600585937,0.0
10,0.0008208923503298,0.0008395892349653,31.28957515716553,0.8501905417442321,0.0096982070058584,20.136563453674317,0.3222671094536781,130.90990020800382,8.176141500007361,139.08637116709724,1073.6569556249306,3.819420832233054,6.115354045665059,9.434992189407348,5.901631960868835,0.0959687232971191,28.61703109741211,0.7826235821843147,8.961750025749206,21.858702964782715,0.0017233276367187,0.0
