epoch,train_mse,val_mse,val_psnr,val_ssim,noisy_mse,noisy_psnr,noisy_ssim,train_phase_time_sec,validation_time_sec,epoch_time_sec,total_time_sec,train_images_per_sec,validation_images_per_sec,val_lambda_mean,val_lambda_std,val_lambda_min,val_lambda_max,val_lambda_p01,val_lambda_median,val_lambda_p99,val_lambda_lower_saturation_fraction,val_lambda_upper_saturation_fraction
1,0.001228826917533297,0.0011329202755587175,29.971894149780272,0.7950389075279236,0.009698207005858422,20.136563453674317,0.32226710945367815,79.45187254203483,5.266915957909077,84.7191996248439,84.71936870878562,6.293117883854403,9.49322153601433,2.96897424697876,0.0666795802116394,2.272941827774048,3.1164729595184326,2.509617094993591,2.9761428594589234,3.0325421714782714,0.0,0.0
2,0.0011615586931948202,0.0011311402526916936,29.994883880615234,0.7975042545795441,0.009698207005858422,20.136563453674317,0.32226710945367815,80.04197237500921,5.385667792055756,85.42816945910454,170.27211937494576,6.246722627691151,9.283899774463173,3.075454387664795,0.14817561686038971,2.280074119567871,3.5569469928741455,2.5745745134353637,3.081638731956482,3.3753259563446045,0.0,0.0
3,0.0011651485837792278,0.001117277014418505,30.033241004943847,0.7968647146224975,0.009698207005858422,20.136563453674317,0.32226710945367815,86.85576591594145,5.71511908294633,92.57143191620708,262.9434584588744,5.756670207524246,8.748724090316482,2.9798776960372924,0.3074211812019348,2.18567156791687,4.286778450012207,2.3980053424835206,2.9608405113220213,3.758692936897278,0.0,0.0
4,0.0011387631683901418,0.0011190506926504896,30.028481903076173,0.7959297955036163,0.009698207005858422,20.136563453674317,0.32226710945367815,92.47982470784336,5.97752441605553,98.45769404200837,361.50936066685244,5.40658464242952,8.364666795120208,3.0335526609420778,0.5630913832783699,2.001920700073242,5.71026086807251,2.1509753608703615,2.964331340789795,4.541265969276428,0.0,0.0
5,0.0010861249459339889,0.0011242790927644818,29.860394096374513,0.7709706771373749,0.009698207005858422,20.136563453674317,0.32226710945367815,94.0553432079032,5.48119920771569,99.53688837494701,461.10354645876214,5.316019089896707,9.122091371832786,2.06608216047287,0.4211873754858971,1.104095697402954,4.429532051086426,1.424559931755066,2.0021960830688474,3.2632340383529663,0.0,0.0
6,0.0010439822857370017,0.0011076879460597412,30.0658854675293,0.7941843438148498,0.009698207005858422,20.136563453674317,0.32226710945367815,92.62526412541047,6.155676707625389,98.78180083399639,559.9395839590579,5.398095268295509,8.122583815693591,3.0245302867889405,0.7153081804513931,0.6907950043678284,6.1137776374816895,1.5045426499843597,3.038032851219177,4.699671168327331,0.0,0.0
7,0.0010277713672840036,0.000904175323958043,30.948969306945802,0.832615259885788,0.009698207005858422,20.136563453674317,0.32226710945367815,105.8744362089783,7.354315959382802,113.2296220837161,673.2766838748939,4.722575325105716,6.798728838432468,5.204901986122131,2.3076744294166565,0.08073954284191132,20.022279739379883,0.8068062204122544,5.384666185379029,11.511343936920166,0.001494140625,0.0
8,0.000864292172336718,0.0008720064512453973,31.117372093200682,0.842775810956955,0.009698207005858422,20.136563453674317,0.32226710945367815,116.71901866607368,7.397850791923702,124.11723937513307,797.4926605420187,4.283792013626082,6.7587197155402805,6.626034603118897,3.451020450592041,0.028325840830802917,23.703584671020508,0.6055442371964455,6.782477226257324,14.167630767822265,0.00679718017578125,0.0
9,0.0008081022103542636,0.0008518495806492865,31.204201316833498,0.8466986095905304,0.009698207005858422,20.136563453674317,0.32226710945367815,128.52481866721064,8.329619124997407,136.8554093753919,934.4550663339905,3.89029920590396,6.0026754224510315,6.628155913352966,4.159222755432129,0.01043626107275486,23.863431930541992,0.5483809584379196,6.1570108699798585,16.47754865646362,0.01309906005859375,0.0
10,0.0008208923503298138,0.0008395892349653877,31.289575157165526,0.8501905417442321,0.009698207005858422,20.136563453674317,0.32226710945367815,130.90990020800382,8.176141500007361,139.08637116709724,1073.6569556249306,3.819420832233054,6.115354045665059,9.434992189407348,5.901631960868835,0.09596872329711914,28.61703109741211,0.7826235821843147,8.961750025749206,21.858702964782715,0.00172332763671875,0.0
11,0.0008626530848287075,0.0008881121806916781,31.080334930419923,0.8413151621818542,0.009698207005858422,20.136563453674317,0.32226710945367815,135.0078840837814,8.126990417018533,143.1353701245971,1216.9033305840567,3.7034874177401127,6.15233898827987,12.078137168884277,5.96110888004303,0.06267569214105606,27.73854637145996,0.9097350525856018,13.06910647392273,21.990053443908693,0.00278167724609375,0.0
12,0.0007763870591588784,0.0008183787405141629,31.35332042694092,0.8526672208309174,0.009698207005858422,20.136563453674317,0.32226710945367815,136.68672820786014,8.326875166967511,145.01394099975005,1361.9795336672105,3.657999621145717,6.0046534861419145,8.147676792144775,5.944273760318756,0.047530967742204666,28.458660125732422,0.6074001117050648,6.761578431129456,21.661791009902956,0.00604248046875,0.0
13,0.0007525404716980119,0.0008004179227282293,31.4882527923584,0.8599862790107727,0.009698207005858422,20.136563453674317,0.32226710945367815,134.3604545001872,8.236585082951933,142.59797608386725,1504.6886512921192,3.7213330504125635,6.070476963018314,8.92335124015808,6.18720431804657,0.06245969980955124,28.62339210510254,0.662851768732071,7.753901252746582,22.4950376701355,0.0038507080078125,0.0
14,0.0008432975054784037,0.0007962797331856564,31.525460929870604,0.8601753628253936,0.009698207005858422,20.136563453674317,0.32226710945367815,136.2395131662488,8.26143562514335,144.5013177082874,1649.3031953750178,3.6700072422445147,6.052216862626999,9.2285995054245,6.22295964717865,0.061103787273168564,29.303586959838867,0.7946923819184303,7.9471923828125,23.059615211486815,0.00224945068359375,0.0
15,0.0007686021053523291,0.0008053178113186732,31.47163475036621,0.8576994860172271,0.009698207005858422,20.136563453674317,0.32226710945367815,136.27981058321893,8.17102266708389,144.45178262516856,1793.873327624984,3.6689220351878626,6.119185080885869,13.831958494186402,9.006858615875244,0.044614631682634354,32.167694091796875,0.8058983628451825,12.85459849357605,29.558417472839356,0.00407379150390625,0.0
16,0.0007325234607433231,0.0007866240013390779,31.576373825073244,0.8636025154590606,0.009698207005858422,20.136563453674317,0.32226710945367815,137.12412554211915,8.214810540899634,145.33933024993166,1939.266837417148,3.646331366003276,6.0865676391514585,11.070645990371704,8.421604595184327,0.0340203195810318,32.698951721191406,0.661784444898367,8.852190709114074,29.00099407196045,0.00623931884765625,0.0
17,0.000750192724088265,0.0008054628138779663,31.434151611328126,0.8584838306903839,0.009698207005858422,20.136563453674317,0.32226710945367815,137.4839658336714,8.201027542352676,145.68585262494162,2085.062127458863,3.6367877298862754,6.096796985717257,7.111721272468567,5.810434465408325,0.017714688554406166,32.24103927612305,0.5016123740375042,5.3182805013656616,23.316239566802977,0.0111114501953125,0.0
18,0.000766244609707428,0.0007755598254152574,31.63760929107666,0.8660544753074646,0.009698207005858422,20.136563453674317,0.32226710945367815,136.54161345772445,8.18868716666475,144.7306833746843,2229.8560111671686,3.661887298225081,6.105984876738794,11.98720784664154,9.51321328163147,0.02274860441684723,33.18502426147461,0.6175762581825256,9.239818980693817,31.19481964111328,0.00671905517578125,0.00387725830078125
19,0.0007337913200717594,0.0007762773329159245,31.626654777526856,0.8662819707393646,0.009698207005858422,20.136563453674317,0.32226710945367815,137.47112820809707,8.21016937494278,145.68223416619003,2375.6528752087615,3.637127348246713,6.090008344115127,11.388060421943665,9.358496646881104,0.02722609043121338,33.15119934082031,0.5952439475059509,8.460643763542175,30.90178276062012,0.0060552978515625,0.00189453125
20,0.0007727963548095431,0.0007840025459881872,31.564640464782716,0.8611164605617523,0.009698207005858422,20.136563453674317,0.32226710945367815,136.85553270811215,8.163866708055139,145.019722874742,2520.7362062921748,3.653487660352093,6.12454879385352,7.84473484992981,6.14779709815979,0.024996427819132805,32.55241012573242,0.6186717973649501,5.936988308429718,24.585194664001463,0.00649505615234375,0.0
