epoch,train_mse,val_mse,val_psnr,val_ssim,noisy_mse,noisy_psnr,noisy_ssim,train_phase_time_sec,validation_time_sec,epoch_time_sec,total_time_sec,train_images_per_sec,validation_images_per_sec,val_lambda_mean,val_lambda_std,val_lambda_min,val_lambda_max,val_lambda_p01,val_lambda_median,val_lambda_p99
1,0.001229612525778066,0.0011327236075885593,29.97075996398926,0.7948003816604614,0.009698207005858422,20.136563453674317,0.32226710945367815,75.42551083303988,4.683203708846122,80.10984691604972,80.11003066692501,6.629056859910278,10.676452084617802,2.956871109008789,0.06834507457911969,2.2622663974761963,3.1263458728790283,2.5016898202896116,2.963686237335205,3.034043378829956
2,0.0011621579856364406,0.0011282956891227513,29.994968986511232,0.7963655376434327,0.009698207005858422,20.136563453674317,0.32226710945367815,75.32653495809063,4.661041208077222,79.98788254195824,160.22468412481248,6.637767159715824,10.727216895948889,2.99856641292572,0.1159650020301342,2.2727527618408203,3.3482723236083984,2.5438514232635496,3.0052255296707155,3.220168361663818
3,0.0011664392212842357,0.0011177808605134488,30.02859264373779,0.796455466747284,0.009698207005858422,20.136563453674317,0.32226710945367815,75.25332591636106,4.642686999868602,79.89632195839658,240.21560187498108,6.644224609497205,10.769625434886114,2.953523187637329,0.27137414410710337,2.2183165550231934,4.013035297393799,2.4170856428146363,2.9412158012390135,3.6127337503433226
4,0.0011395723302848636,0.0011361769930226728,29.9968302154541,0.7981405055522919,0.009698207005858422,20.136563453674317,0.32226710945367815,75.33280858397484,4.667583625297993,80.00070074992254,320.30936349974945,6.637214374433432,10.71218086570604,3.2781453418731687,0.6304472774267197,2.028873920440674,5.9292988777160645,2.2123021507263183,3.2174957942962648,4.8606983137130735
5,0.001082926794573723,0.0011196194298099726,29.835023612976073,0.765084079504013,0.009698207005858422,20.136563453674317,0.32226710945367815,74.70334920892492,4.709852166939527,79.41350870905444,399.77257199957967,6.693140338348635,10.616044459096074,1.8672271084785461,0.2925094282627106,1.08258056640625,3.8995041847229004,1.4061804819107055,1.8135807204246521,2.789530663490295
6,0.0010297090503481742,0.0010798922117101028,30.177018547058104,0.7979196691513062,0.009698207005858422,20.136563453674317,0.32226710945367815,73.19005645811558,4.6783709158189595,77.86874316679314,477.691708332859,6.831529092837012,10.687480941482253,3.2720801401138306,0.8975387674570083,0.5055901408195496,6.463665962219238,1.3946687436103822,3.3144708132743834,5.268407254219055
7,0.0009784667817148147,0.0008723288503824733,31.0983443069458,0.8401107442378998,0.009698207005858422,20.136563453674317,0.32226710945367815,74.44962116703391,4.680041708052158,79.12996920896694,556.9188225828111,6.7159508962202565,10.68366547118019,5.363694643974304,2.6197885274887085,0.021196801215410233,16.30607795715332,0.6231771713495254,5.641390266418457,10.905200967788696
8,0.000855087197283865,0.0008764145281747915,31.1058003616333,0.8438823139667511,0.009698207005858422,20.136563453674317,0.32226710945367815,74.94708204222843,4.654780542012304,79.60216266708449,636.6147259166464,6.671373806364848,10.741644970953786,7.371387281417847,3.873787007331848,0.014659312553703785,22.585487365722656,0.5863601127266884,7.978514518737793,14.92919563293457
9,0.0008055498417998024,0.0008461016861838289,31.264140625,0.8499413001537323,0.009698207005858422,20.136563453674317,0.32226710945367815,74.71259975014254,4.677074333187193,79.38998270919546,716.0996626666747,6.692311627116764,10.69044373428367,9.14264500617981,6.549669318199157,0.009553561918437481,52.857540130615234,0.5744889895617962,8.197251257896424,28.58962434768677
10,0.0008029349748321692,0.0008131232188316062,31.442822723388673,0.8554456031322479,0.009698207005858422,20.136563453674317,0.32226710945367815,74.96900349995121,4.628223208710551,79.59752870816737,795.7931557078846,6.66942305029205,10.803281895717014,15.490046701431275,12.738422737121581,0.12355440855026245,130.17149353027344,0.9401454615592957,13.004184203147888,61.63023569107056
