epoch,train_mse,val_mse,val_psnr,val_ssim,noisy_mse,noisy_psnr,noisy_ssim,train_phase_time_sec,validation_time_sec,epoch_time_sec,total_time_sec,train_images_per_sec,validation_images_per_sec,val_lambda0_mean,val_lambda0_std,val_lambda0_min,val_lambda0_max,val_lambda0_p01,val_lambda0_median,val_lambda0_p99,val_lambda1_mean,val_lambda1_std,val_lambda1_min,val_lambda1_max,val_lambda1_p01,val_lambda1_median,val_lambda1_p99
1,0.0011617006375308847,0.0010170067992294207,30.50757556915283,0.8260285258293152,0.009698207005858422,20.136563453674317,0.32226710945367815,184.83074049977586,6.378736708778888,191.2099024998024,191.21009983308613,2.705177713663958,7.838542689994762,0.07887777477502823,0.001561517813242972,0.06754180043935776,0.08321169763803482,0.07234431579709052,0.07877053305506707,0.08134697169065476,0.22406426519155503,0.020516144260764122,0.07723522931337357,0.27986404299736023,0.11207725167274475,0.226785669028759,0.2516394302248955
2,0.0010919333547280985,0.0010201402363600209,30.4972785949707,0.8257600104808808,0.009698207005858422,20.136563453674317,0.32226710945367815,184.70182695798576,6.39679441601038,191.09918825002387,382.4302540831268,2.7070658056551617,7.816415027323096,0.07967987164855003,0.0015787130873650313,0.0673641562461853,0.08351902663707733,0.07269801363348961,0.07978215113282204,0.08152679473161697,0.26717637836933134,0.02376697923988104,0.08148922771215439,0.32793134450912476,0.1254599615931511,0.2712704706192017,0.28976152777671815
3,0.0010838375602761517,0.000994719993614126,30.589836463928222,0.8282670736312866,0.009698207005858422,20.136563453674317,0.32226710945367815,184.47951037529856,6.400390791706741,190.88030104199424,573.3590845828876,2.7103280954227262,7.812022988469256,0.07392603367567062,0.0014615459251217545,0.06720071285963058,0.08020959049463272,0.07052274748682975,0.07384489953517914,0.07744637355208397,0.19002433091402054,0.024201637078076602,0.07852408289909363,0.2911805808544159,0.11147051438689232,0.18931300461292266,0.24538671255111694
4,0.0010407968554645777,0.0009996491111814976,30.319788093566896,0.7922732758522034,0.009698207005858422,20.136563453674317,0.32226710945367815,184.24162916606292,6.400401624850929,190.64242687541991,764.0995153752156,2.713827500674855,7.812009766053477,0.06274828881025314,0.002436915170401335,0.06063602492213249,0.09601384401321411,0.061034881621599195,0.06186134085059166,0.07280917793512344,0.05858522742986679,0.010551740415394306,0.05177384614944458,0.2749641537666321,0.052584474608302116,0.05465753711760044,0.1047573247551918
5,0.0009765527468407526,0.0009741870121797547,30.671826820373536,0.8299911952018738,0.009698207005858422,20.136563453674317,0.32226710945367815,184.134245458059,6.388471874874085,190.52310816617683,954.6724992920645,2.715410154999587,7.826597812326674,0.07505829066038132,0.004001473295502365,0.054703593254089355,0.10951726883649826,0.06634734243154526,0.07476692229509353,0.08580156207084656,0.08964148551225662,0.009902787692844868,0.05367782339453697,0.19053290784358978,0.07072572216391564,0.08851370051503181,0.11861410215497017
6,0.0009554330431128619,0.0009236714808503166,30.8283048248291,0.8304484069347382,0.009698207005858422,20.136563453674317,0.32226710945367815,184.906413000077,6.366997916251421,191.27380741620436,1146.0430281250738,2.7040706262567094,7.852994560022971,0.0676566007733345,0.005038859993219375,0.04291175305843353,0.09638267010450363,0.05613898806273937,0.06756979063153266,0.07961283132433891,0.07566216051578521,0.00815324584953487,0.0476066917181015,0.14287887513637543,0.05975575461983681,0.0750260229408741,0.09811944901943206
7,0.0009040805488402839,0.0009106422134209424,30.83886302947998,0.8262581551074981,0.009698207005858422,20.136563453674317,0.32226710945367815,184.63803862500936,6.379719874821603,191.01815104065463,1337.155373792164,2.7080010366416154,7.837334707646259,0.06261597648262977,0.007466747397556901,0.021759746596217155,0.09317941963672638,0.04382879287004471,0.06299090676009655,0.07892800971865654,0.07053386896848679,0.008100803028792142,0.03472188115119934,0.12272423505783081,0.0528939363360405,0.07036732509732246,0.09090978339314461
8,0.0009036169722348859,0.0009159064013510943,30.83086368560791,0.8276702153682709,0.009698207005858422,20.136563453674317,0.32226710945367815,184.4764719591476,6.359867583960295,190.83673441736028,1528.090147125069,2.7103727358290177,7.8617989038169505,0.06255419753491878,0.00811257265508175,0.032361503690481186,0.11146523803472519,0.046859635040163994,0.06189710393548012,0.08529384508728981,0.07468512535095215,0.010240363720804453,0.04657826945185661,0.16940490901470184,0.057916849851608276,0.0733135011792183,0.10708078756928444
9,0.0008714918982004747,0.0009030166815500707,30.845564918518065,0.8242784178256989,0.009698207005858422,20.136563453674317,0.32226710945367815,184.2707397500053,6.413258082699031,190.68441445799544,1718.8256363752298,2.7133987776807933,7.796349274463848,0.05591673277318478,0.008980499114841223,0.022903816774487495,0.11599292606115341,0.03842279650270939,0.05522712454199791,0.08437152668833732,0.07214517295360565,0.01133988769724965,0.03927254676818848,0.18537674844264984,0.053609236553311346,0.07062329590320587,0.11235743761062622
10,0.0008743694497024989,0.0008880656748078763,30.87070343017578,0.821603376865387,0.009698207005858422,20.136563453674317,0.32226710945367815,184.81861529219896,6.393050000071526,191.2120665833354,1910.137428500224,2.7053551895164785,7.820993109617569,0.05060083352029324,0.008359174635261297,0.016590600833296776,0.12326669692993164,0.035798544734716414,0.049453924596309665,0.08013369128108025,0.0688649858534336,0.00969806920737028,0.0326501727104187,0.16838109493255615,0.05264966607093811,0.06740856282413006,0.10274587020277977
11,0.0008995559557261004,0.0009595305260154418,30.72193614959717,0.8307979905605316,0.009698207005858422,20.136563453674317,0.32226710945367815,184.93481708317995,6.416340792085975,191.35154308285564,2101.586045749951,2.7036553088600406,7.79260354463573,0.08268215730786324,0.01012145148590207,0.048454612493515015,0.18726855516433716,0.06824671380221843,0.08087787076830864,0.12396439597010613,0.1014703631401062,0.010203796438872814,0.0739239752292633,0.22653067111968994,0.08852623149752617,0.09960237830877304,0.14381535470485687
12,0.0008675212749367347,0.0008589117712108418,30.960043830871584,0.8231006753444672,0.009698207005858422,20.136563453674317,0.32226710945367815,188.9275210001506,6.462594582699239,195.39052350027487,2297.0276198331267,2.646517549974106,7.736830673836954,0.04586601734161377,0.008010366642847657,0.006146238651126623,0.12154578417539597,0.02942888706922531,0.04513309732079506,0.07488848939538002,0.06822638273239136,0.00887400277890265,0.01541877444833517,0.14512841403484344,0.049491099044680596,0.06731834799051285,0.09866693332791328
13,0.0008511133044521557,0.0008220254589105025,31.208633613586425,0.8379282963275909,0.009698207005858422,20.136563453674317,0.32226710945367815,189.3791734999977,6.5001372918486595,195.87974279094487,2493.006654083263,2.6402058407969875,7.692145220178856,0.052354800403118136,0.011024898691102862,0.0011255106655880809,0.13936595618724823,0.027801770558580755,0.05198714278638363,0.08805506750941276,0.07808314740657807,0.01077019738033414,0.006971967406570911,0.15590141713619232,0.05198689863085747,0.07809109330177307,0.10864041328430175
