method,image_index,path,fixed_cg_iters,converged_cg_iters,converged,fixed_relative_residual,relative_solution_difference,fixed_psnr,converged_psnr,fixed_ssim,converged_ssim,lambda_min,lambda_mean,lambda_max
U-Tikhonov x16 CG32,0,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t347/sAQhksmfXN.JPG,32,151,False,0.02219250611960888,0.004076980520039797,30.83763885498047,30.796432495117188,0.8963854312896729,0.895745038986206,0.0604701042175293,15.597204208374023,33.28133773803711
U-Tikhonov x16 CG32,1,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t051/PAqcAkuplA.JPG,32,146,False,0.019172826781868935,0.003372433828189969,26.063154220581055,26.054058074951172,0.7470041513442993,0.7458705902099609,0.1453089416027069,3.216884136199951,32.97356033325195
U-Tikhonov x16 CG32,2,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t165/HjqZSQtkDW.JPG,32,99,False,0.0015372802736237645,0.0003267406136728823,28.86927032470703,28.86532974243164,0.8448857069015503,0.8447350263595581,0.11420080810785294,2.5408663749694824,18.876821517944336
U-Tikhonov x16 CG32,3,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t189/ebTjHOhdnH.JPG,32,110,False,0.0020661698654294014,0.00041537758079357445,32.56184768676758,32.54958724975586,0.8404917120933533,0.8401395678520203,0.2557649612426758,3.900629997253418,24.14250946044922
U-Tikhonov x16 CG32,4,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t459/lGXEBmbCRI.jpeg,32,149,False,0.016903016716241837,0.0030164867639541626,29.959115982055664,29.93614387512207,0.8456807136535645,0.8447420597076416,0.18544194102287292,7.163768768310547,33.2596321105957
U-Tikhonov x16 CG32,5,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t323/SrMzgvHTJX.JPG,32,149,False,0.017361711710691452,0.0031317253597080708,28.832386016845703,28.791690826416016,0.8492828011512756,0.848549485206604,0.026618117466568947,9.299741744995117,33.20867919921875
U-Tikhonov x16 CG32,6,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t434/yKRuxptkwk.jpg,32,148,False,0.01578737422823906,0.0028522948268800974,30.728496551513672,30.688369750976562,0.8345440030097961,0.8337677717208862,0.08317574858665466,8.4681396484375,33.26456832885742
U-Tikhonov x16 CG32,7,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t204/QLJgoxHUJa.JPG,32,148,False,0.015554145909845829,0.00284861633554101,30.983871459960938,30.93939781188965,0.882298469543457,0.8811156749725342,0.1918850690126419,8.401176452636719,33.24038314819336
U-Tikhonov x16 CG32,8,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t204/CTQsNDiiFA.JPG,32,115,False,0.00294243055395782,0.000585413770750165,30.411527633666992,30.400901794433594,0.8522429466247559,0.8519178628921509,0.1950218826532364,3.4201316833496094,24.336557388305664
U-Tikhonov x16 CG32,9,/Users/kyrillguba/.cache/kagglehub/datasets/wildlifedatasets/seaturtleid2022/versions/4/turtles-data/data/images/t004/DJCSPZOvwy.JPG,32,95,False,0.0012814399087801576,0.00027885966119356453,30.718597412109375,30.715579986572266,0.8559176325798035,0.8558287620544434,0.330691933631897,2.8905701637268066,17.64032554626465
