num_iters,mean_relative_solution_error,max_relative_solution_error,mean_relative_residual,max_relative_residual,mean_converged_cg_iters
4,0.01655414680019021,0.028821589425206184,0.05401443980634212,0.0888366550207138,61.48
8,0.0023754423460923134,0.004145374521613121,0.006598052191548049,0.010980146937072277,61.48
16,4.8012425831984726e-05,8.32944133435376e-05,0.00013026567248743958,0.0002179232833441347,61.48
32,6.696002746164886e-09,2.1609924516496903e-08,1.3803266074319254e-06,1.515606754765031e-06,61.48
64,0.0,0.0,1.3808140170112892e-06,1.515618578196154e-06,61.48
