epoch,train_mse,val_mse,val_psnr,val_ssim,noisy_mse,noisy_psnr,noisy_ssim,train_phase_time_sec,validation_time_sec,epoch_time_sec,total_time_sec,train_images_per_sec,validation_images_per_sec,val_lambda0_mean,val_lambda0_std,val_lambda0_min,val_lambda0_max,val_lambda0_p01,val_lambda0_median,val_lambda0_p99,val_lambda1_mean,val_lambda1_std,val_lambda1_min,val_lambda1_max,val_lambda1_p01,val_lambda1_median,val_lambda1_p99,continuation_epoch,continuation_seed,continuation_stage
1,0.0011617006375308847,0.0010170067992294207,30.50757556915283,0.8260285258293152,0.009698207005858422,20.136563453674317,0.32226710945367815,184.8029188750079,6.302678874984849,191.1061819579918,191.1063295410131,2.7055849715132303,7.9331346228741815,0.07887777477502823,0.001561517813242972,0.06754180043935776,0.08321169763803482,0.07234431579709052,0.07877053305506707,0.08134697169065476,0.22406426519155503,0.020516144260764122,0.07723522931337357,0.27986404299736023,0.11207725167274475,0.226785669028759,0.2516394302248955,,,
2,0.0010919333547280985,0.0010201402363600209,30.4972785949707,0.8257600104808808,0.009698207005858422,20.136563453674317,0.32226710945367815,184.83298079197994,6.35698862496065,191.19039975001942,382.42417870799545,2.7051449252053366,7.865359362713899,0.07967987164855003,0.0015787130873650313,0.0673641562461853,0.08351902663707733,0.07269801363348961,0.07978215113282204,0.08152679473161697,0.26717637836933134,0.02376697923988104,0.08148922771215439,0.32793134450912476,0.1254599615931511,0.2712704706192017,0.28976152777671815,,,
3,0.0010838375602761517,0.000994719993614126,30.589836463928222,0.8282670736312866,0.009698207005858422,20.136563453674317,0.32226710945367815,184.73860729200533,6.327334708999842,191.06635662500048,573.5447577909799,2.7065268453046185,7.902221440708874,0.07392603367567062,0.0014615459251217545,0.06720071285963058,0.08020959049463272,0.07052274748682975,0.07384489953517914,0.07744637355208397,0.19002433091402054,0.024201637078076602,0.07852408289909363,0.2911805808544159,0.11147051438689232,0.18931300461292266,0.24538671255111694,,,
4,0.0010407968554645777,0.0009996491111814976,30.319788093566896,0.7922732758522034,0.009698207005858422,20.136563453674317,0.32226710945367815,184.62491083401255,6.330205999955069,190.95550441701198,764.6039339160197,2.7081935895938014,7.898637106020703,0.06274828881025314,0.002436915170401335,0.06063602492213249,0.09601384401321411,0.061034881621599195,0.06186134085059166,0.07280917793512344,0.05858522742986679,0.010551740415394306,0.05177384614944458,0.2749641537666321,0.052584474608302116,0.05465753711760044,0.1047573247551918,,,
5,0.0009765527468407526,0.0009741870121797547,30.671826820373536,0.8299911952018738,0.009698207005858422,20.136563453674317,0.32226710945367815,184.32960283302236,6.275031667028088,190.60504366701934,955.2657594580087,2.712532291695611,7.968087278781886,0.07505829066038132,0.004001473295502365,0.054703593254089355,0.10951726883649826,0.06634734243154526,0.07476692229509353,0.08580156207084656,0.08964148551225662,0.009902787692844868,0.05367782339453697,0.19053290784358978,0.07072572216391564,0.08851370051503181,0.11861410215497017,,,
6,0.0009554330431128619,0.0009236714808503166,30.8283048248291,0.8304484069347382,0.009698207005858422,20.136563453674317,0.32226710945367815,184.8684765829821,6.321672582998872,191.19056524999905,1146.560905708,2.704625522110388,7.909299215284735,0.0676566007733345,0.005038859993219375,0.04291175305843353,0.09638267010450363,0.05613898806273937,0.06756979063153266,0.07961283132433891,0.07566216051578521,0.00815324584953487,0.0476066917181015,0.14287887513637543,0.05975575461983681,0.0750260229408741,0.09811944901943206,,,
7,0.0009040805488402839,0.0009106422134209424,30.83886302947998,0.8262581551074981,0.009698207005858422,20.136563453674317,0.32226710945367815,184.6650119580445,6.3158137910068035,190.98183000000427,1337.6488590830122,2.707605488979141,7.916636185695637,0.06261597648262977,0.007466747397556901,0.021759746596217155,0.09317941963672638,0.04382879287004471,0.06299090676009655,0.07892800971865654,0.07053386896848679,0.008100803028792142,0.03472188115119934,0.12272423505783081,0.0528939363360405,0.07036732509732246,0.09090978339314461,,,
8,0.0009036169722348859,0.0009159064013510943,30.83086368560791,0.8276702153682709,0.009698207005858422,20.136563453674317,0.32226710945367815,184.62257087498438,6.322471374995075,190.94544470898109,1528.7020562079852,2.7082279140104206,7.90829994070775,0.06255419753491878,0.00811257265508175,0.032361503690481186,0.11146523803472519,0.046859635040163994,0.06189710393548012,0.08529384508728981,0.07468512535095215,0.010240363720804453,0.04657826945185661,0.16940490901470184,0.057916849851608276,0.0733135011792183,0.10708078756928444,,,
9,0.0008714918982004747,0.0009030166815500707,30.845564918518065,0.8242784178256989,0.009698207005858422,20.136563453674317,0.32226710945367815,184.4683633330278,6.303613250027411,190.77239500003634,1719.530738500005,2.71049187495273,7.931958706347122,0.05591673277318478,0.008980499114841223,0.022903816774487495,0.11599292606115341,0.03842279650270939,0.05522712454199791,0.08437152668833732,0.07214517295360565,0.01133988769724965,0.03927254676818848,0.18537674844264984,0.053609236553311346,0.07062329590320587,0.11235743761062622,,,
10,0.0008743694497024989,0.0008880656748078763,30.87070343017578,0.821603376865387,0.009698207005858422,20.136563453674317,0.32226710945367815,184.64513958297903,6.301176209002733,190.94671124999877,1910.5837356250267,2.7078968941681856,7.935026468322386,0.05060083352029324,0.008359174635261297,0.016590600833296776,0.12326669692993164,0.035798544734716414,0.049453924596309665,0.08013369128108025,0.0688649858534336,0.00969806920737028,0.0326501727104187,0.16838109493255615,0.05264966607093811,0.06740856282413006,0.10274587020277977,,,
11,0.0008995559557261004,0.0009595305260154418,30.72193614959717,0.8307979905605316,0.009698207005858422,20.136563453674317,0.32226710945367815,184.82998420798685,6.323051667015534,191.1534533330123,2101.8421805829857,2.705188782775398,7.907574164042833,0.08268215730786324,0.01012145148590207,0.048454612493515015,0.18726855516433716,0.06824671380221843,0.08087787076830864,0.12396439597010613,0.1014703631401062,0.010203796438872814,0.0739239752292633,0.22653067111968994,0.08852623149752617,0.09960237830877304,0.14381535470485687,,,
12,0.0008675212749367347,0.0008589117712108418,30.960043830871584,0.8231006753444672,0.009698207005858422,20.136563453674317,0.32226710945367815,184.65173008298734,6.318762166949455,190.9708942080033,2292.8694886250305,2.7078002452253593,7.912942231237481,0.04586601734161377,0.008010366642847657,0.006146238651126623,0.12154578417539597,0.02942888706922531,0.04513309732079506,0.07488848939538002,0.06822638273239136,0.00887400277890265,0.01541877444833517,0.14512841403484344,0.049491099044680596,0.06731834799051285,0.09866693332791328,,,
