epoch,train_mse,val_mse,val_psnr,val_ssim,noisy_mse,noisy_psnr,noisy_ssim,train_phase_time_sec,validation_time_sec,epoch_time_sec,total_time_sec,train_images_per_sec,validation_images_per_sec,val_lambda_mean,val_lambda_std,val_lambda_min,val_lambda_max,val_lambda_p01,val_lambda_median,val_lambda_p99
1,0.0012385425224056236,0.0010791366372723133,30.33364761352539,0.8187628304958343,0.009698207005858422,20.136563453674317,0.32226710945367815,74.24387879157439,3.3065463746897876,77.55263079190627,77.55282229091972,6.734561934777885,15.121517841917727,0.10528401672840118,0.002102460088208318,0.0841558501124382,0.11300533264875412,0.092624744027853,0.10554653003811837,0.10797098875045777
2,0.0011266962790177787,0.000924852034659125,30.848194618225097,0.8302989506721496,0.009698207005858422,20.136563453674317,0.32226710945367815,72.58564545866102,3.294295832980424,75.88027504179627,153.56464970763773,6.888414325457228,15.177750431346011,0.06907505825161935,0.005454256185330451,0.061829544603824615,0.12818564474582672,0.06354429349303245,0.06738003000617027,0.0886308716237545
3,0.0009465238917764509,0.0009663474437547848,30.66846569061279,0.8239635336399078,0.009698207005858422,20.136563453674317,0.32226710945367815,72.57958704186603,3.2848173333331943,75.86470795795321,229.53004399966449,6.888989320255919,15.221546565958853,0.06913882449269294,0.009290593154728412,0.03963208571076393,0.1252221167087555,0.052690425887703896,0.06772480487823486,0.09564621821045875
4,0.0009013644673541421,0.0009599058021558448,30.634698371887207,0.816715943813324,0.009698207005858422,20.136563453674317,0.32226710945367815,72.27703258395195,3.275852832943201,75.55318666715175,305.1319939577952,6.917826896382817,15.263200928070182,0.06441521055996419,0.00938409878872335,0.029734238982200623,0.13787716627120972,0.04819382056593895,0.06288046397268772,0.09421584516763687
5,0.0008859418443571486,0.0009341427823528648,30.817406730651854,0.8303859496116638,0.009698207005858422,20.136563453674317,0.32226710945367815,72.55654966691509,3.293034415692091,75.84990025032312,381.0323082078248,6.891176638020234,15.18356436292865,0.06986705020070076,0.007727530868723988,0.041984397917985916,0.13698916137218475,0.05541406556963921,0.06914963975548744,0.09457788050174713
6,0.0008759266481938539,0.0009803678959724492,30.726612281799316,0.8330865287780762,0.009698207005858422,20.136563453674317,0.32226710945367815,72.6892197499983,3.2921923333778977,75.98172274976969,457.06713029090315,6.8785990786482705,15.18744803973781,0.08335264548659324,0.01002632910385728,0.035539425909519196,0.15839062631130219,0.06171030804514885,0.08272278547286988,0.10863863199949264
7,0.0009239705059444532,0.0009324875636957585,30.77102714538574,0.8236916887760163,0.009698207005858422,20.136563453674317,0.32226710945367815,72.71782949985936,3.306298665702343,76.02443008311093,533.1411369158886,6.875892796015962,15.122650751026061,0.0658986683934927,0.008531277496367694,0.0274492297321558,0.15782737731933594,0.05018899887800217,0.06480385661125183,0.09476617366075515
8,0.0008785566504957387,0.0009390056831762195,30.783298263549806,0.8286404347419739,0.009698207005858422,20.136563453674317,0.32226710945367815,72.79894399968907,3.2901397082023323,76.08942691609263,609.2794473329559,6.8682314952554195,15.196923059330821,0.07054956868290901,0.008773969439789652,0.04289170727133751,0.16784267127513885,0.05603134609758854,0.06931286811828613,0.10108748853206634
9,0.0008659336854107096,0.0009275547962170095,30.8217280960083,0.8282082200050354,0.009698207005858422,20.136563453674317,0.32226710945367815,72.68644162500277,3.2596375001594424,75.94638412538916,685.2810749579221,6.878861983360723,15.339128966811277,0.06917796507477761,0.009089366737753153,0.027639223262667656,0.1785009354352951,0.05187326945364475,0.0685740664601326,0.10152920424938201
10,0.0008837015403696569,0.0009220146856387146,30.918276901245118,0.8371507883071899,0.009698207005858422,20.136563453674317,0.32226710945367815,72.69593741605058,3.2386265001259744,75.93487108312547,761.2670867498964,6.877963442969575,15.438643510776906,0.07552284151315689,0.006683479072526097,0.04438333958387375,0.1539728045463562,0.06356139078736306,0.0746652439236641,0.10134748265147209
11,0.0009289185515008284,0.000982320443727076,30.724174728393553,0.8330128788948059,0.009698207005858422,20.136563453674317,0.32226710945367815,72.75341570889577,3.2320197080262005,75.98574854200706,837.3506230409257,6.872529559307874,15.470202695804439,0.08848309978842735,0.008919492699205875,0.05080179125070572,0.18085196614265442,0.07313262857496738,0.08751824989914894,0.12105624124407768
12,0.0008500171034756932,0.0009719458915060386,30.40291084289551,0.7961740827560425,0.009698207005858422,20.136563453674317,0.32226710945367815,72.69740266585723,3.290930500254035,75.98863645782694,913.3888767906465,6.877824814432167,15.193271324368709,0.056951996386051175,0.006832746816799045,0.026489540934562683,0.12241291999816895,0.0425467748939991,0.05647331148386001,0.08101294726133347
13,0.0008439257872159942,0.0009091652825009077,30.924328002929688,0.8334548687934875,0.009698207005858422,20.136563453674317,0.32226710945367815,72.69143437501043,3.290475791785866,75.9822068749927,989.4221985000186,6.878389514513253,15.195370871536818,0.0706696705520153,0.009463956765830516,0.03225342556834221,0.1538311094045639,0.05216341219842434,0.06994470536708831,0.09889251366257668
14,0.0009240251379378605,0.0008879815175896511,31.02859573364258,0.837713086605072,0.009698207005858422,20.136563453674317,0.32226710945367815,72.75330179231241,3.2975833751261234,76.05118241719902,1065.5725107910112,6.87254032026397,15.162618897569994,0.07115489676594734,0.008553807027637958,0.03553880751132965,0.1713678240776062,0.05524601362645626,0.0702408142387867,0.10236103937029839
15,0.0008419836817774921,0.0008956803989713081,31.04597442626953,0.8409125018119812,0.009698207005858422,20.136563453674317,0.32226710945367815,72.68961066706106,3.3344370000995696,76.02434958424419,1141.7019358747639,6.878562086267612,14.9950351434161,0.0781741002202034,0.010034823892638087,0.02157014049589634,0.17065683007240295,0.0540011166036129,0.07788748726248741,0.10774387672543526
16,0.000798020320098658,0.0008774511946830899,31.07909652709961,0.840136970281601,0.009698207005858422,20.136563453674317,0.32226710945367815,72.75373637489974,3.2884330418892205,76.04246520902961,1217.8427673326805,6.872499268264406,15.204810121745632,0.07128829017281532,0.00920558580197394,0.021615883335471153,0.15807054936885834,0.04926374040544033,0.07128962963819503,0.09793492019176483
17,0.0008283505711260659,0.0008695341658312828,31.110051727294923,0.8412830686569214,0.009698207005858422,20.136563453674317,0.32226710945367815,72.73749645845965,3.2861586660146713,76.02396454103291,1293.9683846659027,6.874033673753809,15.215333488640738,0.07123129457235336,0.010817345790565014,0.018176244571805,0.18610507249832153,0.046974788419902325,0.07094291642308236,0.1064458766579628
18,0.0008395655981466916,0.000874527668056544,31.032691650390625,0.8376140630245209,0.009698207005858422,20.136563453674317,0.32226710945367815,72.68586691701785,3.2774261250160635,75.96362300030887,1370.027568332851,6.878916372708704,15.255873997695353,0.06592222727835179,0.009830976771190762,0.015742676332592964,0.16071945428848267,0.04148516524583101,0.06635124780237675,0.09346688866615295
19,0.0007969413876162435,0.000860179727897048,31.19073066711426,0.8465512704849243,0.009698207005858422,20.136563453674317,0.32226710945367815,72.80583395808935,3.285572957713157,76.09172999998555,1446.168199250009,6.867581522214618,15.218045876175363,0.07767419576644898,0.011340639628469944,0.015963751822710037,0.1911860704421997,0.04840742591768503,0.07844052523374558,0.10486868545413017
20,0.0008440004454878362,0.0008541779770166613,31.21446090698242,0.8482508325576782,0.009698207005858422,20.136563453674317,0.32226710945367815,72.54447033302858,3.2293821671046317,75.77415262488648,1522.0392783749849,6.892324083485055,15.482837710975694,0.07722791835665703,0.012961463611572981,0.01607472077012062,0.19227315485477448,0.04778486978262663,0.07710513085126877,0.1104136584699154
